"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"30",11305,"Elebits: The Adventures of Kai and Zero","DS",2008,"Adventure","Konami Digital Entertainment",0.07,0,0,0.01,0.08
"31",11619,"Backyard NFL Football '09","DS",2008,"Sports","Atari",0.07,0,0,0.01,0.08
"32",6614,"Imagine: Ballet Star","DS",2008,"Simulation","Ubisoft",0.23,0.01,0,0.02,0.25
"33",7164,"Discovery Kids: Dolphin Discovery","DS",2008,"Simulation","505 Games",0.21,0,0,0.01,0.22
"34",3659,"Derby Stallion 04","PS2",2004,"Sports","Enterbrain",0,0,0.55,0,0.55
"35",4265,"Deadpool","X360",2013,"Action","Activision",0.26,0.16,0,0.04,0.46
"36",11911,"James Cameron's Dark Angel","XB",2002,"Action","Vivendi Games",0.05,0.02,0,0,0.07
"37",1770,"Sonic and the Black Knight","Wii",2009,"Platform","Sega",0.69,0.35,0.01,0.11,1.15
"38",4839,"Star Wars The Clone Wars: Republic Heroes","X360",2009,"Action","LucasArts",0.18,0.17,0,0.04,0.4
"39",3769,"NCAA March Madness 2005","PS2",2004,"Sports","Electronic Arts",0.44,0.02,0,0.07,0.53
"40",11115,"Crysis: Maximum Edition","PC",2009,"Shooter","Electronic Arts",0,0.07,0,0.02,0.09
"41",1225,"Call of Duty: Modern Warfare: Reflex Edition","Wii",2009,"Shooter","Activision",0.95,0.43,0,0.14,1.53
"42",1143,"Gears of War: Judgment","X360",2013,"Shooter","Microsoft Game Studios",0.92,0.53,0.03,0.13,1.61
"43",14655,"Rugby League Live","X360",2010,"Sports","Home Entertainment Suppliers",0,0.02,0,0,0.03
"44",7956,"Grand Slam Tennis 2","X360",2012,"Sports","Electronic Arts",0.1,0.07,0,0.02,0.19
"45",8246,"The Cursed Crusade","PS3",2011,"Action","DTP Entertainment",0.07,0.07,0.01,0.03,0.17
"46",5125,"Rec Room Games","Wii",2009,"Sports","Destineer",0.35,0,0,0.02,0.37
"47",5148,"Trauma Center: Under the Knife","DS",2005,"Simulation","Nintendo",0.3,0.01,0.02,0.03,0.37
"48",6296,"Resident Evil: Deadly Silence","DS",2006,"Action","Capcom",0.12,0.03,0.11,0.01,0.27
"49",15642,"Lara Croft and the Temple of Osiris","PC",2014,"Action","Square Enix",0,0.02,0,0,0.02
"50",1212,"Fire Emblem Fates","3DS",2015,"Role-Playing","Nintendo",0.71,0.22,0.52,0.1,1.54
"51",6330,"Ty the Tasmanian Tiger","GC",2002,"Platform","Electronic Arts",0.21,0.05,0,0.01,0.27
"52",14738,"Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!","DS",2011,"Action","Namco Bandai Games",0,0,0.03,0,0.03
"53",8754,"Jewel Quest Solitaire","DS",2009,"Puzzle","GSP",0,0.14,0,0.02,0.15
"54",13627,"Duke Nukem Trilogy: Critical Mass","DS",2011,"Shooter","Deep Silver",0.04,0,0,0,0.04
"55",1091,"Disney's DuckTales","NES",1989,"Platform","Capcom",0.91,0.3,0.42,0.04,1.67
"56",14894,"Bode Miller Alpine Skiing","PS2",2006,"Sports","Valcon Games",0.01,0.01,0,0,0.03
"57",6064,"Lightning Returns: Final Fantasy XIII","X360",2013,"Role-Playing","Square Enix",0.15,0.1,0.01,0.02,0.29
"58",7794,"Shrek: Forever After","PS3",2010,"Platform","Activision",0.16,0.02,0,0.02,0.19
"59",15226,"Kannou Mukashi Banashi Portable","PSP",2012,"Adventure","Idea Factory",0,0,0.02,0,0.02
"60",15792,"Dark Void","PC",2010,"Action","Capcom",0,0.01,0,0,0.02
"61",3774,"SimAnimals","DS",2009,"Simulation","Electronic Arts",0.26,0.21,0,0.06,0.53
"62",12769,"Angelique Trois","PS2",2000,"Adventure","Tecmo Koei",0,0,0.06,0,0.06
"63",822,"Mario & Luigi: Dream Team","3DS",2013,"Role-Playing","Nintendo",0.89,0.57,0.46,0.13,2.06
"64",6112,"VMX Racing","PS",1997,"Racing","Playmates",0.16,0.11,0,0.02,0.28
"65",1590,"Gegege no Kitarou 2: Youkai Gundan no Chousen","NES",1987,"Role-Playing","Namco Bandai Games",0,0,1.25,0,1.25
"66",960,"DDRMAX2: Dance Dance Revolution","PS2",2003,"Simulation","Konami Digital Entertainment",1.05,0.59,0,0.18,1.81
"67",7809,"Might & Magic: Clash of Heroes","DS",2009,"Role-Playing","Ubisoft",0.16,0.02,0,0.01,0.19
"68",6974,"LEGO Marvel's Avengers","PSV",2016,"Action","Warner Bros. Interactive Entertainment",0.07,0.11,0,0.05,0.23
"69",15804,"XCOM 2","XOne",2016,"Strategy","Take-Two Interactive",0.01,0.01,0,0,0.02
"70",9628,"Left Brain Right Brain 2","DS",2008,"Misc","Majesco Entertainment",0.12,0,0,0.01,0.13
"71",9235,"FIFA 06 Soccer","GC",2005,"Sports","Electronic Arts",0.11,0.03,0,0,0.14
"72",8099,"Disney Friends","DS",2007,"Simulation","Disney Interactive Studios",0.13,0.04,0,0.01,0.18
"73",14136,"Daito Giken Premium Pachi-Slot Collection: Yoshimune","PS2",2006,"Misc","Daito",0,0,0.03,0,0.03
"74",2485,"Battle of Giants: Dinosaurs","DS",2008,"Strategy","Ubisoft",0.38,0.37,0,0.09,0.83
"75",8045,"AirForce Delta Storm","XB",2001,"Shooter","Konami Digital Entertainment",0.14,0.04,0,0.01,0.18
"76",9390,"Disney's Kim Possible: Kimmunicator","DS",2005,"Platform","Disney Interactive Studios",0.11,0.01,0,0.01,0.13
"77",9990,"Die Hard: Vendetta","GC",2002,"Shooter","NDA Productions",0.09,0.02,0,0,0.12
"78",6463,"Beyblade: Metal Fusion","DS",2009,"Role-Playing","Hudson Soft",0.08,0.03,0.14,0.01,0.26
"79",3370,"XCOM: Enemy Unknown","PS3",2012,"Strategy","Take-Two Interactive",0.24,0.25,0,0.11,0.6
"80",8245,"Smash Court Tennis Pro Tournament","PS2",2002,"Sports","Sony Computer Entertainment",0.08,0.07,0,0.02,0.17
"81",14966,"Carmen Sandiego: The Secret of the Stolen Drums","XB",2004,"Action","BAM! Entertainment",0.02,0.01,0,0,0.02
"82",12238,"Warhammer 40,000: Squad Command","DS",2007,"Strategy","THQ",0.05,0.01,0,0.01,0.07
"83",4276,"Bleach: The Blade of Fate","DS",2006,"Fighting","Sega",0.3,0.01,0.12,0.03,0.46
"84",12118,"Norse by Norsewest: The Return of the Lost Vikings","PS",1997,"Action","Interplay",0.04,0.03,0,0,0.07
"85",5424,"Teenage Mutant Ninja Turtles","GC",2003,"Action","Konami Digital Entertainment",0.26,0.07,0,0.01,0.34
"86",13979,"Super Hero Generation","PSV",2014,"Role-Playing","Namco Bandai Games",0,0,0.04,0,0.04
"87",13053,"Jenga World Tour","Wii",2007,"Misc","Atari",0.05,0,0,0,0.05
"88",10707,"Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS","DS",2009,"Misc","Nintendo",0,0,0.1,0,0.1
"89",321,"Big Brain Academy: Wii Degree","Wii",2007,"Misc","Nintendo",1.06,1.93,0.41,0.43,3.82
"90",14499,"CIMA: The Enemy","GBA",2003,"Role-Playing","Marvelous Interactive",0.02,0.01,0,0,0.03
"91",13816,"Clannad","PSP",2008,"Adventure","Prototype",0,0,0.04,0,0.04
"92",14902,"Napoleon Dynamite: The Game","DS",2007,"Puzzle","Crave Entertainment",0.02,0,0,0,0.03
"93",16595,"Plushees","DS",2008,"Simulation","Destineer",0.01,0,0,0,0.01
"94",150,"Dragon Quest IX: Sentinels of the Starry Skies","DS",2009,"Role-Playing","Nintendo",0.66,0.69,4.35,0.15,5.84
"95",4353,"Rock Band Country Track Pack","Wii",2009,"Misc","MTV Games",0.42,0,0,0.03,0.45
"96",10610,"NFL Tour","X360",2008,"Sports","Electronic Arts",0.09,0,0,0.01,0.1
"97",6243,"Tak and the Guardians of Gross","PS2",2008,"Action","THQ",0.14,0.11,0,0.04,0.28
"98",6482,"Inazuma Eleven GO 3: Galaxy","3DS",2013,"Sports","Level 5",0,0,0.26,0,0.26
"99",5787,"Math Play","DS",2006,"Puzzle","Ubisoft",0.28,0,0,0.02,0.31
"100",7946,"Earth Defense Force: Insect Armageddon","X360",2011,"Shooter","D3Publisher",0.1,0.05,0.03,0.01,0.19
"101",11504,"Midway Arcade Treasures 3","XB",2005,"Misc","Midway Games",0.06,0.02,0,0,0.08
"102",6170,"Surf's Up","DS",2007,"Sports","Ubisoft",0.26,0,0,0.02,0.28
"103",3460,"NCAA Football 09","PS3",2008,"Sports","Electronic Arts",0.54,0,0,0.04,0.58
"104",14920,"ZooCube","GC",2002,"Puzzle","Acclaim Entertainment",0.02,0,0,0,0.02
"105",5773,"Mega Man Battle Network 2","GBA",2002,"Action","Ubisoft",0.22,0.08,0,0.01,0.31
"106",13034,"Plants vs. Zombies","PC",2009,"Strategy","PopCap Games",0,0.04,0,0.01,0.05
"107",8653,"Nicktoons: MLB","Wii",2011,"Sports","Take-Two Interactive",0.15,0,0,0.01,0.16
"108",16439,"Worms 2","PC",1997,"Strategy","Microprose",0,0.01,0,0,0.01
"109",6067,"Neopets Puzzle Adventure","DS",2008,"Puzzle","Capcom",0.26,0,0,0.02,0.29
"110",4316,"Lego Batman 3: Beyond Gotham","3DS",2014,"Action","Warner Bros. Interactive Entertainment",0.21,0.21,0,0.04,0.45
"111",1650,"NBA 2K2","PS2",2002,"Sports","Sega",0.59,0.46,0.01,0.15,1.22
"112",14825,"Backyard NFL Football","Wii",2007,"Sports","Atari",0.02,0,0,0,0.03
"113",4102,"James Bond 007: Blood Stone","X360",2010,"Shooter","Activision",0.2,0.24,0,0.05,0.48
"114",5962,"Front Mission Evolved","PS3",2010,"Shooter","Square Enix",0.09,0.07,0.11,0.03,0.29
"115",8757,"Cars: Race-O-Rama","X360",2009,"Racing","THQ",0.14,0.01,0,0.01,0.15
"116",4810,"The Chronicles of Narnia: Prince Caspian","PS2",2008,"Action","Disney Interactive Studios",0.2,0.15,0,0.05,0.4
"117",6633,"Galactic Attack","SAT",1994,"Shooter","Acclaim Entertainment",0,0,0.25,0,0.25
"118",2191,"WWE SmackDown vs. Raw 2009","PS3",2008,"Fighting","THQ",0.51,0.31,0.01,0.13,0.95
"119",7111,"Ratchet & Clank: Full Frontal Assault","PS3",2012,"Adventure","Sony Computer Entertainment",0.19,0.01,0,0.02,0.23
"120",15711,"Post Mortem","PC",2003,"Adventure","Microids",0,0.01,0,0,0.02
"121",9600,"Fit in Six","PS3",2011,"Sports","Ubisoft",0.12,0,0,0.01,0.13
"122",5882,"Fossil Fighters (JP sales)","DS",2008,"Role-Playing","Nintendo",0,0,0.3,0,0.3
"123",13732,"GoGo's Crazy Bones","DS",2012,"Action","GameMill Entertainment",0,0.04,0,0,0.04
"124",10992,"I Love Puppies","DS",2010,"Simulation","Destineer",0.09,0,0,0.01,0.09
"125",9783,"The God of War Trilogy","PS3",2010,"Action","Sony Computer Entertainment",0,0.07,0.03,0.02,0.12
"126",3134,"Crysis 3","PC",2013,"Shooter","Electronic Arts",0.17,0.39,0,0.09,0.64
"127",12985,"Pony Friends: Mini Breeds Edition","DS",2008,"Simulation","Eidos Interactive",0.05,0,0,0,0.05
"128",12377,"Rurouni Kenshin: Meiji Kenkaku Romantan Saisen","PSP",2011,"Fighting","Namco Bandai Games",0,0,0.06,0,0.06
"129",15092,"Left 4 Dead","PC",2008,"Shooter","Electronic Arts",0,0.02,0,0,0.02
"130",12453,"Shining Force Feather","DS",2009,"Strategy","Sega",0,0,0.06,0,0.06
"131",2394,"Tony Hawk's Project 8","PS2",2006,"Sports","Activision",0.72,0.03,0,0.12,0.87
"132",6814,"Harvest Moon: Magical Melody","GC",2005,"Simulation","Ubisoft",0.19,0.05,0,0.01,0.24
"133",4329,"Resistance: Burning Skies","PSV",2012,"Shooter","Sony Computer Entertainment",0.21,0.16,0.02,0.07,0.45
"134",14686,"Animaniacs: The Great Edgar Hunt","GC",2005,"Platform","Ignition Entertainment",0.02,0.01,0,0,0.03
"135",8737,"Space Invaders Extreme","DS",2008,"Shooter","Square Enix",0.12,0.01,0.01,0.01,0.15
"136",10982,"Space Invaders Extreme","PSP",2008,"Shooter","Square Enix",0.06,0.01,0.01,0.01,0.09
"137",4331,"Dead or Alive: Dimensions","3DS",2011,"Fighting","Ubisoft Annecy",0.13,0.21,0.07,0.03,0.45
"138",10046,"Monster Madness: Battle for Suburbia","X360",2007,"Shooter","SouthPeak Games",0.1,0,0,0.01,0.11
"139",345,"Gran Turismo 6","PS3",2013,"Racing","Sony Computer Entertainment",0.71,1.8,0.4,0.74,3.64
"140",11629,"Dragon's Dogma Online","PS4",2015,"Role-Playing","Capcom",0,0,0.08,0,0.08
"141",12332,"Spy Fox in Dry Cereal","Wii",2008,"Adventure","Majesco Entertainment",0.06,0,0,0,0.06
"142",12655,"Honeycomb Beat","DS",2006,"Puzzle","Konami Digital Entertainment",0.05,0,0,0,0.06
"143",15051,"Total Immersion Racing","XB",2002,"Racing","Empire Interactive",0.02,0.01,0,0,0.02
"144",5017,"Forza Horizon 3","XOne",2016,"Racing","Microsoft Game Studios",0.15,0.2,0,0.03,0.38
"145",9848,"IndyCar Series","PS2",2003,"Racing","Codemasters",0.06,0.05,0,0.02,0.12
"146",13437,"Mighty No. 9","PS4",2016,"Platform","Deep Silver",0.04,0,0,0.01,0.05
"147",4623,"Rush 2: Extreme Racing USA","N64",1998,"Racing","Midway Games",0.35,0.06,0,0,0.42
"148",3947,"Hidden Mysteries: Titanic - Secrets of the Fateful Voyage","DS",2009,"Adventure","GSP",0.12,0.33,0,0.06,0.51
"149",6837,"Kill.Switch","XB",2003,"Shooter","Namco Bandai Games",0.18,0.05,0,0.01,0.24
"150",6668,"Billy Hatcher and the Giant Egg","GC",2003,"Platform","Sega",0.19,0.05,0,0.01,0.25
"151",10527,"The King of Fighters: Dream Match 1999","DC",1999,"Fighting","SNK",0,0,0.1,0,0.1
"152",4785,"Beowulf: The Game","X360",2007,"Action","Ubisoft",0.36,0.01,0,0.03,0.4
"153",9594,"Thor: God of Thunder","DS",2011,"Action","Sega",0.09,0.03,0,0.01,0.13
"154",5619,"Naruto: Ultimate Ninja (JP sales)","PS2",2003,"Fighting","Atari",0,0,0.32,0,0.32
"155",981,"50 Cent: Bulletproof","PS2",2005,"Action","Vivendi Games",0.85,0.76,0,0.16,1.77
"156",7317,"Cabela's Big Game Hunter: Ultimate Challenge","PS",2001,"Sports","Activision Value",0.12,0.08,0,0.01,0.21
"157",7943,"One Piece: Unlimited Adventure","Wii",2007,"Adventure","Namco Bandai Games",0.07,0,0.11,0.01,0.19
"158",256,"Kingdom Hearts II","PS2",2005,"Role-Playing","Square Enix",2.2,0.58,1.38,0.17,4.33
"159",4520,"InuYasha: The Secret of the Cursed Mask","PS2",2004,"Role-Playing","Namco Bandai Games",0.21,0.17,0,0.06,0.43
"160",6520,"Hatsune Miku: Project Diva","PSP",2009,"Misc","Sega",0,0,0.26,0,0.26
"161",6761,"X-Men Legends II: Rise of Apocalypse","GC",2005,"Role-Playing","Activision",0.19,0.05,0,0.01,0.25
"162",2234,"Spider-Man","2600",1981,"Action","Parker Bros.",0.87,0.05,0,0.01,0.93
"163",8424,"Learning to Spell","DS",2010,"Misc","505 Games",0.16,0,0,0.01,0.17
"164",4662,"Fishing Resort","Wii",2011,"Sports","Namco Bandai Games",0.16,0,0.25,0.01,0.42
"165",13238,"Finny the Fish & the Seven Waters","PS2",2004,"Sports","Sony Computer Entertainment",0.02,0.02,0,0.01,0.05
"166",233,"The Legend of Zelda: The Wind Waker","GC",2002,"Action","Nintendo",2.6,0.99,0.89,0.13,4.6
"167",11406,"Ninjabread Man","Wii",2007,"Action","Popcorn Arcade",0.07,0,0,0.01,0.08
"168",8233,"The Chronicles of Narnia: Prince Caspian","PS3",2008,"Action","Disney Interactive Studios",0.14,0.02,0,0.02,0.17
"169",12340,"Bionicle Heroes","DS",2006,"Shooter","Eidos Interactive",0.06,0,0,0,0.06
"170",16532,"Hirameki Action: Chibikko Wagyan no Daiki na Bouken","DS",2009,"Action","Namco Bandai Games",0,0,0.01,0,0.01
"171",12298,"Ys vs. Sora no Kiseki: Alternative Saga","PSP",2010,"Fighting","Falcom Corporation",0,0,0.06,0,0.06
"172",2273,"MLB 15: The Show","PS4",2015,"Sports","Sony Computer Entertainment",0.67,0.08,0,0.17,0.92
"173",8126,"F1 Challenge","SAT",1994,"Racing","Sega",0,0,0.18,0,0.18
"174",8598,"Minna no DS Seminar: Kanpeki Kanji Ryoku","DS",2006,"Misc","TDK Core",0,0,0.16,0,0.16
"175",4356,"Transformers: Revenge of the Fallen (Wii & PS2 Version)","DS",2009,"Action","Activision",0.27,0.14,0,0.04,0.45
"176",3205,"A Bug's Life","N64",1998,"Platform","Activision",0.49,0.13,0,0.01,0.63
"177",14543,"Commander: Conquest of the Americas","PC",2010,"Strategy","Paradox Interactive",0,0.02,0,0.01,0.03
"178",92,"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.66,2.42,0.98,0.64,7.69
"179",15325,"Last Escort","PS2",2006,"Adventure","D3Publisher",0,0,0.02,0,0.02
"180",10795,"Glory Days 2","DS",2007,"Strategy","Ghostlight",0.08,0,0,0.01,0.1
"181",10818,"Halo 2","PC",2007,"Shooter","Microsoft Game Studios",0.01,0.06,0,0.02,0.1
"182",5326,"Tom Clancy's Rainbow Six: Lockdown","PS2",2005,"Shooter","Ubisoft",0.17,0.13,0,0.04,0.35
"183",8970,"Tom Clancy's Ghost Recon","GC",2003,"Shooter","Ubisoft",0.11,0.03,0,0,0.15
"184",6050,"Operation Flashpoint: Red River","X360",2011,"Shooter","Codemasters",0.1,0.15,0.01,0.03,0.29
"185",8770,"Wolfenstein: The Old Blood","XOne",2015,"Action","Bethesda Softworks",0.07,0.07,0,0.01,0.15
"186",6281,"Final Fantasy X International","PS2",2004,"Role-Playing","Square Enix",0,0,0.27,0,0.27
"187",6458,"Jikkyou Powerful Pro Yakyuu '99 Ketteiban","PS",1999,"Sports","Konami Digital Entertainment",0,0,0.25,0.02,0.26
"188",1444,"Alan Wake","X360",2010,"Action","Microsoft Game Studios",0.66,0.51,0.05,0.13,1.35
"189",4962,"Super Famista 3","SNES",1994,"Sports","Namco Bandai Games",0,0,0.39,0,0.39
"190",4590,"Famicom Mini: Super Mario Bros. 2","GBA",2004,"Platform","Nintendo",0,0,0.41,0.01,0.42
"191",8464,"Hyperdimension Neptunia Victory","PS3",2012,"Role-Playing","Compile Heart",0.05,0.03,0.06,0.02,0.16
"192",11703,"Genkai Totsuki Moero Chronicle","PSV",2014,"Role-Playing","Compile Heart",0,0,0.08,0,0.08
"193",8305,"Hanjuku Eiyuu Tai 3D","PS2",2003,"Role-Playing","Square Enix",0,0,0.17,0,0.17
"194",4963,"Auto Modellista","PS2",2002,"Racing","Capcom",0.19,0.15,0,0.05,0.39
"195",15755,"Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne","PS2",2007,"Adventure","Marvelous Interactive",0,0,0.02,0,0.02
"196",11565,"Lost in Blue: Shipwrecked","Wii",2008,"Adventure","Konami Digital Entertainment",0.07,0,0,0.01,0.08
"197",10598,"[Prototype 2]","PC",2012,"Action","Activision",0.07,0.02,0,0.01,0.1
"198",1689,"Captain Toad: Treasure Tracker","WiiU",2014,"Puzzle","Nintendo",0.56,0.36,0.19,0.09,1.19
"199",13720,"Aeon Flux","PS2",2005,"Action","THQ",0.02,0.02,0,0.01,0.04
"200",10821,"Playboy: The Mansion","XB",2005,"Simulation","Ubisoft",0.07,0.02,0,0,0.09
"201",13976,"Toki no Kizuna: Sekigahara Kitan","PSP",2012,"Action","Idea Factory",0,0,0.04,0,0.04
"202",4755,"Pro Pinball","PS",1996,"Misc","Empire Interactive",0.23,0.15,0,0.03,0.41
"203",13521,"D.C.F.S.: Da Capo Four Seasons","PS2",2005,"Adventure","Kadokawa Shoten",0,0,0.04,0,0.04
"204",749,"ATV Offroad Fury 2","PS2",2002,"Racing","THQ",1.92,0.2,0,0.06,2.18
"205",1631,"Boom Blox","Wii",2008,"Puzzle","Electronic Arts",0.72,0.38,0,0.12,1.23
"206",8318,"NHL 07","PSP",2006,"Sports","Electronic Arts",0.13,0.02,0,0.02,0.17
"207",15694,"Prince of Stride","PSV",2015,"Adventure","Kadokawa Games",0,0,0.02,0,0.02
"208",9212,"Reality Fighters","PSV",2012,"Fighting","Sony Computer Entertainment",0.06,0.06,0,0.03,0.14
"209",9109,"Yu-Gi-Oh! Monster Capture GB","GB",2000,"Role-Playing","Konami Digital Entertainment",0,0,0.14,0,0.14
"210",6802,"Ace Combat: Assault Horizon Legacy","3DS",2011,"Simulation","Namco Bandai Games",0.1,0.06,0.08,0.01,0.24
"211",16498,"Unending Bloody Call","PSP",2012,"Action","Asgard",0,0,0.01,0,0.01
"212",8346,"Time and Eternity","PS3",2012,"Role-Playing","Nippon Ichi Software",0.06,0.03,0.06,0.02,0.17
"213",10613,"Spider-Man: Web of Shadows","DS",2008,"Action","Activision",0.09,0,0,0.01,0.1
"214",14511,"The Idolmaster: Gravure For You! Vol. 5","PS3",2012,"Misc","Namco Bandai Games",0,0,0.03,0,0.03
"215",1940,"Mortal Kombat: Armageddon","PS2",2006,"Fighting","Midway Games",0.88,0.04,0,0.14,1.06
"216",4571,"NBA Street","GC",2002,"Sports","Electronic Arts",0.33,0.09,0,0.01,0.42
"217",12853,"DuckTales: Remastered","PS3",2013,"Action","Capcom",0.01,0.04,0,0.01,0.05
"218",4338,"Enemy Territory: Quake Wars","X360",2008,"Shooter","Activision",0.3,0.11,0,0.04,0.45
"219",9062,"FIFA Soccer 2005","GC",2004,"Sports","Electronic Arts",0.11,0.03,0,0,0.14
"220",9200,"Master Jin Jin's IQ Challenge","DS",2006,"Misc","505 Games",0.13,0,0,0.01,0.14
"221",2918,"NCAA Football 98","PS",1997,"Sports","Electronic Arts",0.39,0.27,0,0.05,0.7
"222",12640,"Game of Thrones (Telltale)","PS3",2015,"Adventure","Telltale Games",0.02,0.03,0,0.01,0.06
"223",3280,"Toshochu: Run for Money","3DS",2012,"Adventure","Namco Bandai Games",0,0,0.62,0,0.62
"224",11990,"MLB Front Office Manager","X360",2009,"Sports","Take-Two Interactive",0.06,0,0,0.01,0.07
"225",9410,"Chicken Run","PS",2000,"Adventure","Eidos Interactive",0.07,0.05,0,0.01,0.13
"226",14799,"Guild Wars","PC",2005,"Role-Playing","NCSoft",0.02,0,0,0,0.03
"227",14984,"Star Trek Online","PC",2010,"Role-Playing","Atari",0,0.02,0,0,0.02
"228",4858,"Sonic Lost World","WiiU",2013,"Platform","Sega",0.24,0.12,0.01,0.03,0.4
"229",4247,"Warhammer 40,000: Space Marine","PS3",2011,"Shooter","THQ",0.13,0.25,0,0.09,0.46
"230",1567,"Sonic Adventure DX: Director's Cut","GC",2003,"Platform","Sega",0.87,0.3,0.06,0.03,1.27
"231",16338,"Whac-A-Mole","GBA",2005,"Puzzle","Zoo Digital Publishing",0.01,0,0,0,0.01
"232",15856,"Dragon Booster","DS",2005,"Shooter","Konami Digital Entertainment",0.02,0,0,0,0.02
"233",16183,"Rozen Maiden: Gebetgarten","PS2",2007,"Fighting","Taito",0,0,0.01,0,0.01
"234",15278,"World Championship Poker featuring Howard Lederer: All In","Wii",2006,"Misc","505 Games",0.02,0,0,0,0.02
"235",11049,"Castlevania Dracula X","SNES",1995,"Platform","Konami Digital Entertainment",0.03,0.01,0.05,0,0.09
"236",14855,"I Heart Geeks","DS",2011,"Puzzle","CDV Software Entertainment",0.02,0,0,0,0.03
"237",6749,"Fuel","PS3",2009,"Racing","Codemasters",0.08,0.12,0,0.05,0.25
"238",1786,"Shadow of the Colossus","PS2",2005,"Action","Sony Computer Entertainment",0.78,0.03,0.2,0.13,1.14
"239",12715,"Senritsu no Stratus","PSP",2011,"Role-Playing","Konami Digital Entertainment",0,0,0.06,0,0.06
"240",9000,"CSI: 3 Dimensions of Murder","PS2",2007,"Adventure","Ubisoft",0.07,0.06,0,0.02,0.14
"241",4377,"Naruto Shippuden: Ultimate Ninja Storm Generations","X360",2012,"Fighting","Namco Bandai Games",0.26,0.14,0.01,0.04,0.45
